,tape_avg_90,t5_3,t5_10,prot_bert_bfd_0,tape_avg_13,ASDC_55,t5_59,t5_62,prot_bert_bfd_62,tape_avg_104,tape_avg_123,ASDC_129,prot_bert_bfd_229,t5_95,t5_88,t5_29,t5_68,t5_15,t5_30,ASDC_48
10,-0.49721113,0.093680166,0.07101353,0.332983570295848,-0.1061438,0.0013760898184256,0.063061975,0.06532986,0.0805442356983911,0.11196345,0.45658746,0.000993566655903,0.0048512785657613,-0.20535189,-0.0140851075,0.03228035,0.060025923,0.040291253,-0.032286465,0.0007054323256911
11,-0.78714687,0.062293295,0.03847269,0.3315011985560364,0.051541712,0.0009671179883945,0.18576406,0.09670624,0.0965310821168501,0.20175445,0.21569346,0.0015929002161793,0.0144052166148693,-0.04977875,-0.051681265,0.018035693,0.08543242,0.07770973,-0.038903475,0.0008533394015246
12,-0.8620843,0.09533049,0.055255182,-0.3824239891270167,0.084519036,0.0057405281285878,0.05866366,0.1107362,0.0450369671228771,-0.22941051,0.11706854,0.0018861735279645,0.0240460048640624,-0.0729613,-0.0301611,0.02556309,0.07289478,0.042258177,-0.048225284,0.0030160552548612
13,-0.95506054,0.09949296,0.054443207,-0.0384281133905861,-0.30887496,0.0019273072592568,0.029071823,0.04691138,0.1074972709719654,0.118807636,0.2045553,0.0027727580528186,-0.0124240396987686,-0.17112955,0.0082776565,0.0664452,0.016782295,0.09510307,-0.04945025,0.0020435066574241
14,-1.0462157,0.07529562,0.044497512,-0.3797982875286689,-0.7866045,0.0039081400975174,0.18599641,0.083704636,0.2477355675044381,-0.36768878,-0.26835096,0.0022456297068274,-0.0046141465835291,-0.046946354,0.03856504,0.04503497,0.122875005,0.04830674,0.007667949,0.0008188484013845
15,-0.76350117,0.004906619,0.017729562,0.0115476039681985,-0.16062194,0.0018427518427518,-0.09428043,0.11029311,0.0772403911781506,0.14169033,0.32863596,0.0011830011830011,0.0194685765483747,0.018224189,0.029724035,0.007846255,0.105247565,0.016784437,-0.072008036,0.0008190008190008
16,-0.79275924,0.075052574,0.059321504,-0.1878629401350329,-0.51529545,0.0037744408655809,-0.14795911,0.089213386,0.0413226547488754,0.102213,0.4018577,0.0044549290024043,-0.0285324987882167,-0.14631352,0.010667488,-0.0037085635,0.029455133,0.05240516,-0.03806415,0.0036655627636891
17,-0.86830515,0.061131027,0.049411915,0.338416124129992,-0.2667557,0.0019396521322066,-0.25579268,0.03168689,0.1300027206427405,-0.13094409,0.024403064,0.0019608119736489,0.003584372472271,-0.13785504,-0.08181674,-0.059791837,0.08286873,0.089543015,-0.0660339,0.0011496847183625
18,-0.90568817,0.0915047,0.005723309,0.1090307167777028,-0.25070933,0.0005464480874316,0.13362989,0.1052326,0.1578645391893557,-0.018332437,0.34176937,0.0,0.0801165963477287,-0.13406692,0.0074162846,-0.0034669063,0.08565049,0.024738887,-0.11460865,0.0
19,-0.6940269,0.07443696,0.038055424,0.5326227597435024,-0.5185314,0.0028104105064066,0.15294303,0.06410664,0.0675256697100361,-0.029177316,0.08549944,0.0027571325821146,0.0018882630172098,-0.08265973,-0.0071523935,0.025103895,0.08195449,0.052586243,0.011680194,0.003116758571086
20,-0.57773805,0.058214918,0.017286098,0.1504481405122615,-0.46996728,0.0023813036370762,0.21358104,0.07454904,0.0923570924863555,-0.20209032,0.28445488,0.0022471876625224,0.0081337038191734,0.021218266,-0.00146246,0.046286177,0.072415,0.0041635516,-0.057124164,0.0012815526457356
21,-0.7484961,0.10630261,0.06688163,0.374085396562789,-0.36011967,0.0016576678980771,0.07356307,0.035748288,0.061961856518705,-0.2377968,0.048090026,0.0017334470019892,0.01496353905772,-0.09417358,0.008021177,0.018845642,0.0464974,0.04914499,-0.04915387,0.0014682201382968
22,-0.43345398,0.08685584,0.086345285,0.3804204365951247,-0.2509963,0.0025634019722298,0.20504771,0.104470916,0.0850570153261215,-0.015027553,0.37107068,0.0015499639832087,0.017461255352586,0.044299074,-0.024481894,0.013048671,0.07809893,0.00516877,0.0007858802,0.0016393849822399
23,-0.795941,0.0873915,0.08012159,0.1901168259649744,-0.66501415,0.0031259671928195,0.20813686,0.104061656,0.0809552573413788,-0.022396727,0.13794006,0.0015939337666357,-0.0375267309715127,0.038346115,-0.026659083,0.020034216,0.0743093,0.012847322,-0.0027885037,0.001454658000619
24,-0.39108104,0.08760136,0.08279878,0.4226131582941564,0.0486328,0.0018796581644919,0.20021296,0.10287289,0.1495661658264478,-0.102274746,0.38396758,0.0021419360479094,0.0164043833309532,0.040842615,-0.024357568,0.017582575,0.07491419,0.011120829,-0.0019965728,0.0022293620090485
25,-0.18072262,0.082500376,0.051553108,0.268775776122173,0.038934488,0.0016610917696316,0.10565944,0.12624183,0.0455168539660227,-0.084270306,-0.048268665,0.0015245636789769,0.02888669346348,-0.02724463,0.009957742,0.024237638,0.041115873,0.024417398,-0.01710745,0.0015321485729022
26,-0.89555615,0.093881875,0.09873596,0.0962695033775736,-0.14989458,0.0013398515299655,0.008661753,0.0547751,0.0842618780992046,-0.1986217,0.37134692,0.0008908202064095,-0.0008504697565333,-0.03694321,-0.019480383,0.03439727,0.059095223,0.032268353,-0.025347922,0.0012674271229404
